K,exclusivity,semantic_coherence,held_out_likelihood,residuals,bound,lower_bound,em_iterations,frex_separation
5,8.73556470929132,-43.5682454864004,-7.35115034197889,2.84186933842104,-3256847.70024052,-3256842.91274877,150,
6,8.92386077877527,-43.3192677001685,-7.34741902587249,2.75340899546998,-3249687.93759091,-3249681.3583397,150,
7,8.98468761022762,-49.778604711287,-7.32303328115963,2.68233773904889,-3239613.43186513,-3239604.90670377,150,
8,9.04303329719633,-54.7775890925747,-7.31517695401342,2.60992261124464,-3229589.29810596,-3229578.69350306,150,
9,9.226168650157,-55.4512078664976,-7.3010056451793,2.58689190812957,-3224466.99277191,-3224454.19094443,150,
10,9.24074397764535,-56.5887913581319,-7.2855279167816,2.53375502839604,-3215414.19568867,-3215399.0912761,150,
11,9.28134963280181,-58.2517362219886,-7.28085112538158,2.4708292650329,-3209423.16295303,-3209405.66064518,150,
12,9.30690383778369,-54.7706225865348,-7.27892098200368,2.43986400166557,-3208783.52214651,-3208763.53493201,150,
13,9.39900159677141,-61.8814975305076,-7.26733775385062,2.39079290584156,-3199287.48254795,-3199264.9303841,150,
14,9.4779027819412,-69.4099705962208,-7.26875458762256,2.39276072765457,-3197583.5246524,-3197558.33343122,150,
15,9.44032673996639,-68.0610445290136,-7.25288006881544,2.36259403819745,-3189405.27332947,-3189377.37405809,150,
16,9.44680704396572,-67.7501907311696,-7.23367615288876,2.2832806462829,-3179407.04365364,-3179376.37179354,150,
17,9.48952528263402,-67.6411141744818,-7.24723168283087,2.28250393187798,-3179930.03022882,-3179896.52515537,150,
18,9.57132596182567,-71.0025384398368,-7.23810911106098,2.29235950083002,-3178650.95075587,-3178614.55531066,150,
19,9.520852350231,-67.4675699982512,-7.23196528141538,2.26059524736263,-3168858.21089082,-3168818.87100664,150,
20,9.5905448007084,-75.8823866943983,-7.23556199890345,2.24612248798819,-3170201.06024978,-3170158.72463332,150,
21,9.56620360630747,-67.5461781277391,-7.22160867670812,2.2102208364699,-3165619.42610566,-3165574.04596677,150,
22,9.57291275089279,-72.402761966518,-7.22223651280782,2.17967614796433,-3160870.05956747,-3160821.58838612,150,
23,9.60393623830163,-71.112901945223,-7.21407958732622,2.15063777098419,-3156392.13341751,-3156340.52674194,150,
24,9.61411900610675,-74.1173867520314,-7.20796243255752,2.15064360436747,-3157550.60144298,-3157495.81671358,150,
25,9.64063270867506,-72.5673042810928,-7.20724570033571,2.13138561743075,-3152957.69894432,-3152899.6953391,150,
26,9.6588797338052,-74.3348675596059,-7.2047066860163,2.12756521266908,-3153592.72791286,-3153531.4662111,150,
27,9.62446674944661,-71.1541267021028,-7.21338418483108,2.1083169121927,-3147362.81741421,-3147298.25987558,150,
28,9.64474775505177,-71.681814641602,-7.21914453984469,2.09813701470854,-3146287.35193964,-3146219.4621965,150,
29,9.67993521088081,-74.3076307425744,-7.19841750690759,2.08007691406823,-3141647.14623555,-3141575.88919658,150,
30,9.68768997073524,-74.0472339286357,-7.18626420248882,2.07321024510345,-3137135.90319284,-3137061.24495649,150,
