posadj,poscor,cor
1,1,1
0,0,-0.199310595720459
0,0,0
0,0,-0.171473563067395
0,0,-0.164211028894482
0,0,-0.0959149104185773
0,0,-0.175096799246183
0,0,-0.118242303598924
0,0,0
0,0,0
0,0,-0.091358281112748
0,0,-0.228858846453124
0,0,-0.199310595720459
1,1,1
0,0,-0.110890820803438
0,0,-0.0301930327899667
1,0.11566053539468,0.11566053539468
0,0,-0.212749049391428
0,0,-0.0367743482618044
1,0.0568465857709433,0.0568465857709433
0,0,-0.253384449297759
0,0,-0.136621426532537
0,0,-0.0558583761537209
0,0,-0.0416466942466677
0,0,0
0,0,-0.110890820803438
1,1,1
0,0,-0.14864509246725
0,0,-0.09797130334604
0,0,-0.113633213349409
0,0,0
0,0,0
1,0.0439456346561194,0.0439456346561194
0,0,-0.0979040753987212
0,0,-0.114851048246607
0,0,-0.23197816496294
0,0,-0.171473563067395
0,0,-0.0301930327899667
0,0,-0.14864509246725
1,1,1
0,0,0
0,0,-0.0718106282768898
0,0,0
0,0,-0.132961012656701
0,0,-0.157478502308654
0,0,-0.146739807528619
0,0,-0.17110069457854
1,0.0454403187983559,0.0454403187983559
0,0,-0.164211028894482
1,0.11566053539468,0.11566053539468
0,0,-0.09797130334604
0,0,0
1,1,1
0,0,-0.112474325294352
0,0,-0.0839583608585532
0,0,0
0,0,-0.169501256121033
0,0,-0.224376915302453
0,0,-0.123425962098294
0,0,-0.169476124002968
0,0,-0.0959149104185773
0,0,-0.212749049391428
0,0,-0.113633213349409
0,0,-0.0718106282768898
0,0,-0.112474325294352
1,1,1
0,0,0
0,0,-0.139498162551156
0,0,-0.0929073014364344
0,0,-0.0618884993679524
1,0.061187058113148,0.061187058113148
0,0,-0.073488691722841
0,0,-0.175096799246183
0,0,-0.0367743482618044
0,0,0
0,0,0
0,0,-0.0839583608585532
0,0,0
1,1,1
0,0,-0.130036063723935
0,0,-0.0825051354158819
0,0,-0.0677308180264165
0,0,-0.0527119360984051
0,0,-0.0418886226949718
0,0,-0.118242303598924
1,0.0568465857709433,0.0568465857709433
0,0,0
0,0,-0.132961012656701
0,0,0
0,0,-0.139498162551156
0,0,-0.130036063723935
1,1,1
0,0,-0.0882733490866376
0,0,-0.232836519457046
0,0,-0.141425665043231
0,0,-0.219775320687059
0,0,0
0,0,-0.253384449297759
1,0.0439456346561194,0.0439456346561194
0,0,-0.157478502308654
0,0,-0.169501256121033
0,0,-0.0929073014364344
0,0,-0.0825051354158819
0,0,-0.0882733490866376
1,1,1
0,0,-0.0659701635539155
0,0,0
0,0,-0.133905356369465
0,0,0
0,0,-0.136621426532537
0,0,-0.0979040753987212
0,0,-0.146739807528619
0,0,-0.224376915302453
0,0,-0.0618884993679524
0,0,-0.0677308180264165
0,0,-0.232836519457046
0,0,-0.0659701635539155
1,1,1
0,0,0
1,0.0706288690323186,0.0706288690323186
0,0,-0.091358281112748
0,0,-0.0558583761537209
0,0,-0.114851048246607
0,0,-0.17110069457854
0,0,-0.123425962098294
1,0.061187058113148,0.061187058113148
0,0,-0.0527119360984051
0,0,-0.141425665043231
0,0,0
0,0,0
1,1,1
0,0,-0.0655512055392971
0,0,-0.228858846453124
0,0,-0.0416466942466677
0,0,-0.23197816496294
1,0.0454403187983559,0.0454403187983559
0,0,-0.169476124002968
0,0,-0.073488691722841
0,0,-0.0418886226949718
0,0,-0.219775320687059
0,0,-0.133905356369465
1,0.0706288690323186,0.0706288690323186
0,0,-0.0655512055392971
1,1,1
