topic,gender_effect,gender_se,gender_p
1,0.0464525056530203,0.00800044868693519,7.31488343809491e-09
2,-0.04488765186626,0.0108476174325474,3.63495721171045e-05
3,-0.0692972304808782,0.00945636824623826,3.26092884961361e-13
4,-0.0765574145113908,0.00872569060447013,3.39234439492741e-18
5,-0.0564273202794022,0.00828786968792556,1.26829439195875e-11
6,0.0030116908883237,0.00899684625096983,0.737845862098125
7,0.0235952517489526,0.0102359890718299,0.0212520944870998
8,0.100664909616871,0.00933107620874875,1.7764983898946e-26
9,0.0522488270433296,0.00926248838807477,1.90914414416475e-08
10,-0.0428739024734067,0.00955458149806175,7.58621614284738e-06
11,0.0228834830981737,0.0112432541614063,0.0419394864545851
12,0.0412650634950863,0.00882694552494243,3.11897534397255e-06
