gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.90836388029624,0.777162354322968
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.932220668864225,0.610445640797799
Male,Randy M. Goldman; Randy M. Goldman,4,0.906791939778541,0.705347742503942
Female,Adina Conn; Adina Conn,1,0.917636798382257,0.598509921685906
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.902936750981811,0.822696391369208
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.915189617741791,0.590345337682266
Male,Holly Snyder; Holly Snyder,1,0.878973433396677,0.755614338433758
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.903428950804364,0.674419121155883
Female,Sandra Bradley; Sandra Bradley,1,0.927628048301054,0.544141343861171
Male,Judith Goldstein; Judith Goldstein,1,0.884892134643262,0.740880699446964
Female,Randy M. Goldman; Randy M. Goldman,1,0.911689750796589,0.570649009878718
Female,Katie Davis; Katie Davis,1,0.912003001006042,0.560472062557254
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.902498071054959,0.658757184110747
Male,Ina Navazelskis; Ina Navazelskis,5,0.92079154064906,0.716187371003283
Male,Chris Johnson; Chris Johnson,1,0.939891988046263,0.475155273452848
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.930423663833597,0.420315078602898
Female,Vera Frankl; Vera Frankl,1,0.910546241088964,0.613444257778468
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.904101635313562,0.647243733179437
Female,Peggy Frankston; Peggy Frankston,1,0.883831879091805,0.741003625191364
Female,Ina Navazelskis; Ina Navazelskis,8,0.891721288592754,0.851232046420591
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.95314630958799,0.301106390940584
Female,Agnieszka McClure; Agnieszka McClure,1,0.914074390857,0.586245770242386
Male,Duncan Little; Duncan Little,1,0.934538849360298,0.500621864336393
Male,Sandra Bradley; Sandra Bradley,2,0.901444380361925,0.675565744281027
Male,Gail Schwartz; Gail Schwartz,6,0.938935685582683,0.627003129418345
Male,Mira Hodos; Mira Hodos,1,0.915548315100659,0.551841518238361
Female,Gail Schwartz; Gail Schwartz,1,0.901653133511908,0.680980599790081
Male,Anthony Young; Anthony Young,1,0.894328440123314,0.705837624898904
Male,NULL,14,0.928053744582541,0.798527515085922
Male,Jennifer Clayman,1,0.920990495182814,0.567267106913401
Female,Sandra Bradley,2,0.877954299596748,0.887599481477226
Male,Sandra Bradley,2,0.865953096044219,0.930311082739151
Male,Katie Davis,1,0.92240694284511,0.582738956941404
Female,Regine Beyer,3,0.925370086414263,0.651932410470832
Male,Dan Collison,1,0.886269687636658,0.737718233186876
Male,Dan Gedimen; Dan Gedimen,1,0.950639137271848,0.350910743961684
Male,Melissa Block; Melissa Block,1,0.952778133825562,0.337408376721839
Female,Arwin Donohue; Arwin Donohue,1,0.89919291485633,0.681208834601522
Female,NULL,7,0.935090650784019,0.610376226597212
